name,Tuition,Salary
Adams State University,20456,81400
Adventist University of Health Sciences,15150,89800
Agnes Scott College,41160,83600
Alabama State University,19396,71500
Alaska Pacific University,20830,90000
Albany College of Pharmacy and Health Sciences,35105,144800
Albertus Magnus College,32060,85900
Albion College,45775,99300
Alcorn State University,7144,69500
Allen College,19970,91300
Alma College,40258,89900
Amberton University,12840,93600
Amherst College,56426,116500
Amridge University,6900,65900
Andrews University,29288,85000
Appalachian State University,22021,82700
Arizona Christian University,26796,76600
Arkansas Tech University,15848,76900
Armstrong State University,19866,81500
Asbury University,30198,70800
Athens State University,12870,78800
Auburn University,30524,104500
Auburn University at Montgomery,22048,79600
Augsburg University,38800,91000
Augusta University,29796,84400
Augustana University,33018,88400
Austin Peay State University,24467,78200
Avila University,19900,81200
Babson College,51104,133800
Baker University,29830,84200
Ball State University,26468,83700
Barnard College,55032,109800
Barry University,29850,84400
Barton College,30880,77900
Bastyr University,26166,86300
Bates College,53794,111900
Baylor University,45727,101400
Belhaven University,25300,74300
Bellarmine University,42200,90700
Bellevue College,9689,88500
Bellevue University,9390,84800
Bellin College,22178,97600
Belmont Abbey College,18500,82900
Belmont University,34310,80900
Beloit College,50040,85700
Benedict College,16600,67500
Benedictine College,29530,91800
Bennington College,54360,90000
Bentley University,49880,116600
Berea College,39990,71600
Berry College,36556,84900
Black Hills State University,11778,72600
Bloomfield College,29550,89100
Bluefield State College,16920,72800
Boise State University,23776,86400
Boston College,55464,115400
Boston University,53948,113600
Bowdoin College,53922,112000
Bowie State University,18873,89900
Bradley University,33760,104900
Brandeis University,55395,113200
Brescia University,22400,81200
Brigham Young University-Hawaii,5560,93900
Brigham Young University-Idaho,4118,93500
Brown University,55656,127600
Bryant University,43973,108600
Bucknell University,56092,122900
Butler University,41120,99300
California Institute of Technology,52362,151600
Calvin College,34600,91100
Cameron University,15870,81500
Campbell University,32500,82400
Campbellsville University,25400,66800
Capitol Technology University,25428,118400
Cardinal Stritch University,29998,82500
Carleton College,54759,109900
Carnegie Mellon University,55465,136100
Carroll College,35486,91400
Carroll University,31918,86500
Carson-Newman University,27900,76500
Carthage College,43550,85400
Case Western Reserve University,49042,117800
Castleton University,28322,76200
Catawba College,30520,78100
Centenary College of Louisiana,36580,88400
Central Baptist College,16200,68000
Central Christian College of Kansas,26674,66100
Central College,37295,88800
Central Connecticut State University,21856,93700
Central Michigan University,12960,83600
Central Washington University,23053,93200
Centre College,41700,88500
Chadron State College,7196,76700
Chaminade University of Honolulu,25374,84000
Champlain College,41010,88400
Charles R Drew University of Medicine and Science,17440,135700
Charleston Southern University,25500,76300
Charter Oak State College,13101,85900
Christian Brothers University,32820,96500
Christopher Newport University,27220,87200
Claremont McKenna College,54405,125400
Clark Atlanta University,23436,81100
Clark College,9718,78400
Clark University,45730,101400
Clarke University,33350,80200
Clarkson College,16920,91500
Clarkson University,49444,130100
Cleary University,20250,84700
Clemson University,36724,106700
Cleveland State University,14992,88600
Coastal Carolina University,26648,77600
Coe College,45000,86900
Colby College,55210,103300
Colby-Sawyer College,42398,83700
Colgate University,55870,130600
College for Creative Studies,44110,89800
College of Charleston,31920,85100
College of Saint Mary,20350,77700
College of the Holy Cross,52770,114600
College of William and Mary,44701,108900
Colorado Christian University,31866,80100
Colorado College,55470,97900
Colorado Mesa University,22440,81500
Colorado School of Mines,38584,139600
Columbia International University,23690,66200
Columbus State University,20682,77900
Concord University,17320,75800
Connecticut College,54820,100800
Converse College,18690,71000
Cooper Union for the Advancement of Science and Art,46700,126200
Corban University,33040,77300
Cornell College,42299,90600
Cornell University,55188,128200
Cornish College of the Arts,41642,86400
Covenant College,34330,79400
Creighton University,39916,95800
Cumberland University,22890,81000
Dakota State University,12249,84300
Dakota Wesleyan University,27300,75700
Dartmouth College,55453,130900
Davidson College,51447,106900
Delaware State University,16904,81900
Delta State University,7246,74200
Denison University,51960,104800
DePaul University,39975,102900
DePauw University,49704,101000
Dickinson College,54661,100100
Dickinson State University,9544,81200
Dillard University,18099,79800
Dordt College,30870,89600
Drake University,41396,99900
Drew University,39500,95000
Drexel University,53279,114800
Drury University,28365,79400
Duke University,55695,132100
Earlham College,46450,88400
East Carolina University,23465,85400
East Central University,17700,77500
East Tennessee State University,28459,77300
Eastern Connecticut State University,22596,87800
Eastern Kentucky University,19074,80700
Eastern Michigan University,13959,86700
Eastern Oregon University,20739,73900
Eastern Washington University,24444,87500
Eckerd College,44540,88400
Edgewood College,29500,87500
Elon University,35319,93700
Emory University,51306,110800
Emporia State University,20675,78000
Erskine College,34560,78000
Fairfield University,48350,116900
Fairmont State University,16324,74100
Faulkner University,21690,71300
Felician University,34315,98200
Ferris State University,12630,89300
Ferrum College,34175,80600
Fisk University,21480,83600
Florida Agricultural and Mechanical University,17768,83900
Florida Atlantic University,21595,91200
Florida Institute of Technology,41850,105400
Florida International University,18956,90100
Florida State University,21683,92700
Fordham University,52687,112500
Fort Hays State University,15201,79300
Fort Lewis College,19696,82600
Francis Marion University,21544,77600
Franklin College,32010,86200
Franklin Pierce University,36900,85600
Freed-Hardeman University,21950,78200
Friends University,28415,76500
Frostburg State University,22892,87000
George Fox University,36020,89600
George Mason University,35922,105700
Georgetown College,38650,81900
Georgia Southern University,20904,88000
Georgia State University,29432,90800
Gettysburg College,54480,109300
Glenville State College,16565,67700
Goddard College,16586,76900
Goldey-Beacom College,24300,86900
Gonzaga University,43210,107600
Goucher College,44300,90600
Grambling State University,16458,73100
Granite State College,10875,76900
Green Mountain College,37002,75200
Grinnell College,52392,96500
Grove City College,17930,98400
Gustavus Adolphus College,45400,96800
Hamilton College,54620,108100
Hamline University,41298,90400
Hampden-Sydney College,45746,108600
Hampton University,26702,92600
Hanover College,37670,85100
Harding University,20135,88600
Harvey Mudd College,56876,158200
Hastings College,30050,87100
Haverford College,54592,112300
